,u,i,ts,label,idx
0,4,5,0.0,0.0,1
1,6,3,258552.0,0.0,2
2,7,8,283780.0,0.0,3
3,9,8,283917.0,0.0,4
4,10,11,284564.0,0.0,5
5,10,12,284614.0,0.0,6
6,13,14,285349.0,0.0,7
7,10,15,285915.0,0.0,8
8,10,16,285985.0,0.0,9
9,10,17,286056.0,0.0,10
10,10,18,286314.0,0.0,11
11,10,15,286489.0,0.0,12
12,10,19,286721.0,0.0,13
13,20,19,287184.0,0.0,14
14,21,22,289105.0,0.0,15
15,20,23,294235.0,0.0,16
16,9,24,294404.0,0.0,17
17,10,25,294806.0,0.0,18
18,10,23,294817.0,0.0,19
19,26,22,311250.0,0.0,20
20,27,8,325286.0,0.0,21
21,28,29,334401.0,0.0,22
22,30,26,348244.0,0.0,23
23,31,32,361667.0,0.0,24
24,31,32,361672.0,0.0,25
25,31,32,361674.0,0.0,26
26,31,32,361677.0,0.0,27
27,33,34,362184.0,0.0,28
28,35,36,369691.0,0.0,29
29,35,34,369879.0,0.0,30
30,37,38,375110.0,0.0,31
31,39,40,383010.0,0.0,32
32,37,41,383718.0,0.0,33
33,42,16,384466.0,0.0,34
34,42,12,384515.0,0.0,35
35,42,15,384623.0,0.0,36
36,42,14,384657.0,0.0,37
37,42,40,385603.0,0.0,38
38,42,43,418372.0,0.0,39
39,42,44,420505.0,0.0,40
40,10,41,427861.0,0.0,41
41,45,46,429629.0,0.0,42
42,47,23,431866.0,0.0,43
43,45,47,432383.0,0.0,44
44,48,47,432669.0,0.0,45
45,49,47,433644.0,0.0,46
46,10,50,440716.0,0.0,47
47,37,51,441876.0,0.0,48
48,45,52,441912.0,0.0,49
49,33,53,442217.0,0.0,50
50,37,33,442283.0,0.0,51
51,54,55,442556.0,0.0,52
52,37,56,442706.0,0.0,53
53,57,58,442709.0,0.0,54
54,37,33,442846.0,0.0,55
55,37,59,442926.0,0.0,56
56,45,60,443081.0,0.0,57
57,52,59,443095.0,0.0,58
58,45,15,443233.0,0.0,59
59,37,57,443537.0,0.0,60
60,37,61,443878.0,0.0,61
61,57,62,444229.0,0.0,62
62,63,51,444570.0,0.0,63
63,37,61,444948.0,0.0,64
64,33,60,445616.0,0.0,65
65,37,61,446033.0,0.0,66
66,37,51,446074.0,0.0,67
67,42,64,446780.0,0.0,68
68,42,65,446829.0,0.0,69
69,42,66,446843.0,0.0,70
70,42,57,446861.0,0.0,71
71,42,62,446922.0,0.0,72
72,42,44,446939.0,0.0,73
73,42,53,446968.0,0.0,74
74,42,59,446999.0,0.0,75
75,42,60,447229.0,0.0,76
76,10,65,447285.0,0.0,77
77,10,59,447340.0,0.0,78
78,13,67,447380.0,0.0,79
79,33,59,447427.0,0.0,80
80,13,67,447429.0,0.0,81
81,68,33,447675.0,0.0,82
82,42,33,447732.0,0.0,83
83,68,33,447810.0,0.0,84
84,33,69,447842.0,0.0,85
85,69,57,448011.0,0.0,86
86,68,33,448029.0,0.0,87
87,68,33,448160.0,0.0,88
88,69,62,448179.0,0.0,89
89,68,33,448240.0,0.0,90
90,68,9,448857.0,0.0,91
91,70,68,449551.0,0.0,92
92,71,52,451328.0,0.0,93
93,45,51,451450.0,0.0,94
94,68,33,452515.0,0.0,95
95,72,59,452566.0,0.0,96
96,72,73,452642.0,0.0,97
97,52,59,452670.0,0.0,98
98,73,72,453410.0,0.0,99
99,74,75,453810.0,0.0,100
100,75,74,453880.0,0.0,101
101,74,75,454074.0,0.0,102
102,75,74,454133.0,0.0,103
103,35,59,454275.0,0.0,104
104,45,76,454278.0,0.0,105
105,45,76,454402.0,0.0,106
106,10,59,454455.0,0.0,107
107,74,75,454493.0,0.0,108
108,10,77,454500.0,0.0,109
109,33,78,455487.0,0.0,110
110,42,77,456267.0,0.0,111
111,42,79,456283.0,0.0,112
112,80,49,456655.0,0.0,113
113,80,64,456696.0,0.0,114
114,42,81,456779.0,0.0,115
115,80,59,456825.0,0.0,116
116,42,82,456833.0,0.0,117
117,80,71,457108.0,0.0,118
118,20,83,457532.0,0.0,119
119,20,73,457605.0,0.0,120
120,13,33,457627.0,0.0,121
121,20,65,458071.0,0.0,122
122,20,59,458191.0,0.0,123
123,20,59,458196.0,0.0,124
124,20,59,458198.0,0.0,125
125,20,53,458549.0,0.0,126
126,84,60,458621.0,0.0,127
127,52,71,458638.0,0.0,128
128,39,59,458992.0,0.0,129
129,42,59,460204.0,0.0,130
130,64,80,460246.0,0.0,131
131,42,64,460254.0,0.0,132
132,68,60,460520.0,0.0,133
133,42,64,460896.0,0.0,134
134,42,59,461263.0,0.0,135
135,45,85,461827.0,0.0,136
136,20,86,462367.0,0.0,137
137,20,73,462455.0,0.0,138
138,4,85,463203.0,0.0,139
139,20,9,463357.0,0.0,140
140,20,59,463432.0,0.0,141
141,85,87,463994.0,0.0,142
142,84,59,464164.0,0.0,143
143,37,61,464193.0,0.0,144
144,87,49,464392.0,0.0,145
145,88,64,464670.0,0.0,146
146,37,89,464850.0,0.0,147
147,88,9,465111.0,0.0,148
148,37,90,465544.0,0.0,149
149,91,57,465563.0,0.0,150
150,37,91,465620.0,0.0,151
151,37,85,465679.0,0.0,152
152,92,93,465736.0,0.0,153
153,37,94,465921.0,0.0,154
154,92,93,465986.0,0.0,155
155,37,91,466002.0,0.0,156
156,92,93,466142.0,0.0,157
157,37,61,466362.0,0.0,158
158,37,85,466853.0,0.0,159
159,52,59,466973.0,0.0,160
160,95,85,467065.0,0.0,161
161,37,85,467431.0,0.0,162
162,95,85,467450.0,0.0,163
163,95,85,467825.0,0.0,164
164,70,85,467925.0,0.0,165
165,70,96,467956.0,0.0,166
166,88,9,468221.0,0.0,167
167,4,85,468610.0,0.0,168
168,4,85,468857.0,0.0,169
169,49,87,469378.0,0.0,170
170,85,9,470448.0,0.0,171
171,92,82,471383.0,0.0,172
172,97,89,471556.0,0.0,173
173,9,85,472534.0,0.0,174
174,85,9,473451.0,0.0,175
175,92,48,473734.0,0.0,176
176,98,99,474383.0,0.0,177
177,99,98,474537.0,0.0,178
178,98,99,474572.0,0.0,179
179,49,98,474681.0,0.0,180
180,100,9,474993.0,0.0,181
181,100,9,475007.0,0.0,182
182,98,49,475137.0,0.0,183
183,101,102,475354.0,0.0,184
184,103,98,475450.0,0.0,185
185,98,49,475761.0,0.0,186
186,98,103,475772.0,0.0,187
187,102,101,476134.0,0.0,188
188,49,59,476195.0,0.0,189
189,98,49,476224.0,0.0,190
190,104,73,479245.0,0.0,191
191,104,59,479606.0,0.0,192
192,105,60,481749.0,0.0,193
193,105,60,481758.0,0.0,194
194,104,73,484269.0,0.0,195
195,106,57,497677.0,0.0,196
196,107,73,497844.0,0.0,197
197,106,62,498127.0,0.0,198
198,106,9,498212.0,0.0,199
199,106,34,498664.0,0.0,200
200,106,108,498978.0,0.0,201
201,106,82,499411.0,0.0,202
202,45,103,500232.0,0.0,203
203,37,106,503478.0,0.0,204
204,37,105,504056.0,0.0,205
205,35,109,504340.0,0.0,206
206,35,110,504904.0,0.0,207
207,37,111,505101.0,0.0,208
208,112,113,505714.0,0.0,209
209,35,59,506622.0,0.0,210
210,37,114,506877.0,0.0,211
211,37,110,506901.0,0.0,212
212,80,110,507668.0,0.0,213
213,115,106,507837.0,0.0,214
214,102,116,507934.0,0.0,215
215,57,91,508736.0,0.0,216
216,57,106,508770.0,0.0,217
217,57,69,508812.0,0.0,218
218,30,59,510131.0,0.0,219
219,88,59,510371.0,0.0,220
220,45,117,510867.0,0.0,221
221,45,118,511441.0,0.0,222
222,45,118,511473.0,0.0,223
223,45,80,512000.0,0.0,224
